,city,Cloudiness,Country,Date,Humidity,lat,lon,Max Temp,Wind Speed
152,Nemuro,20,JP,1570268486,71,43.32,145.57,11.0,5.1
153,Cidreira,100,BR,1570268488,96,-30.17,-50.22,20.48,4.52
154,Nantucket,75,US,1570268490,57,41.28,-70.1,11.0,6.2
155,Victoria,75,BN,1570268492,66,5.28,115.24,30.0,3.1
156,Jesus Carranza,1,MX,1570268494,88,31.49,-106.24,22.0,0.52
157,Yining,0,CN,1570268496,64,29.04,114.56,25.93,4.54
158,Okhotsk,100,RU,1570268498,51,59.36,143.24,-3.16,2.73
159,Beringovskiy,0,RU,1570268499,62,63.05,179.32,-3.99,4.5
160,Provideniya,100,RU,1570268501,94,64.42,-173.23,-2.91,15.64
161,Port-Cartier,5,CA,1570268503,55,50.03,-66.88,4.44,4.1
162,Luwingu,4,ZM,1570268505,33,-10.26,29.92,28.92,4.45
163,Hobart,0,AU,1570268438,62,-42.88,147.33,12.0,3.6
164,Praya,40,ID,1570268509,62,-8.71,116.27,29.0,4.6
165,Ribeira Grande,20,PT,1570268511,77,38.52,-28.7,18.0,2.1
166,Alta Floresta,0,BR,1570268512,79,-9.87,-56.08,21.59,0.448
167,Mehamn,98,NO,1570268514,77,71.03,27.85,4.28,5.49
168,Veshenskaya,100,RU,1570268516,61,49.63,41.73,20.28,4.68
169,Petatlan,46,MX,1570268518,76,17.52,-101.27,26.04,3.448
170,Ayagoz,0,KZ,1570268520,14,47.96,80.43,17.3,8.205
171,Havre-Saint-Pierre,40,CA,1570268522,69,50.23,-63.6,2.0,3.1
172,Cabo San Lucas,0,MX,1570268524,88,22.89,-109.91,24.44,3.798
173,Bani Walid,0,LY,1570268526,51,31.76,14.0,23.05,1.621
174,Tekeli,0,KZ,1570268527,17,44.86,78.76,21.82,4.13
175,Humaita,75,AR,1570268529,93,-24.93,-65.37,14.0,2.1
176,Nagua,100,DO,1570268531,95,19.37,-69.85,22.3,0.857
177,Tula,9,RU,1570268533,64,54.19,37.62,10.1,2.59
178,San Felipe,0,CL,1570268535,78,-32.75,-70.73,7.78,1.46
179,Kailua,20,US,1570268420,69,21.39,-157.74,27.0,5.7
180,Sao Joao da Barra,0,BR,1570268538,85,-21.64,-41.05,22.69,8.506
181,Rosetta,0,EG,1570268540,48,31.4,30.42,29.0,2.1
182,San Cristobal,100,HN,1570268542,96,14.68,-86.92,18.87,0.64
183,Half Moon Bay,1,US,1570268544,87,37.46,-122.43,15.0,1.5
184,Tortoli,20,IT,1570268546,47,39.93,9.66,25.0,3.6
185,Vila,0,IT,1570268548,63,45.18,8.4,19.44,2.1
186,Saint-Augustin,5,CA,1570268550,100,45.63,-73.98,2.78,1.0
187,Luwuk,98,ID,1570268552,97,-0.95,122.79,19.39,1.35
188,Severo-Kurilsk,100,RU,1570268553,90,50.68,156.12,5.29,13.27
189,Labuhan,95,ID,1570268555,51,-2.54,115.51,31.42,1.41
190,Nouadhibou,0,MR,1570268557,78,20.93,-17.03,22.0,5.7
191,Dwarka,20,IN,1570268559,40,28.58,77.04,31.0,4.1
192,Sitka,86,US,1570268561,93,37.17,-99.65,17.78,5.36
193,Kysyl-Syr,97,RU,1570268563,87,63.9,122.77,-0.24,2.48
194,Bethel,75,US,1570268565,73,60.79,-161.76,4.0,5.7
195,Hovd,0,NO,1570268566,69,63.83,10.7,4.44,1.0
196,Hithadhoo,49,MV,1570268568,67,-0.6,73.08,28.05,4.458
197,Natal,20,BR,1570268547,88,-5.81,-35.21,22.0,1.5
198,Praia,35,BR,1570268572,83,-20.25,-43.81,16.64,1.714
199,Vardo,1,US,1570268574,87,39.62,-77.74,7.78,1.5
200,Mackay,90,CA,1570268576,65,53.65,-115.58,5.0,1.5
201,Raahe,0,FI,1570268578,60,64.68,24.47,5.56,4.1
202,Maldonado,90,UY,1570268580,100,-34.91,-54.96,12.0,5.1
203,Bandarbeyla,47,SO,1570268581,36,9.49,50.81,33.41,3.37
204,Mana,26,NG,1570268584,57,13.03,5.27,29.62,6.62
205,Tuktoyaktuk,100,CA,1570268585,79,69.44,-133.03,3.35,6.112
206,Kamennomostskoye,0,RU,1570268587,23,43.73,43.05,29.0,3.0
207,Inhambane,20,MZ,1570268322,65,-23.87,35.38,27.0,6.2
208,Puteyets,100,RU,1570268591,96,65.17,57.09,4.66,0.7
209,Shingu,20,JP,1570268593,64,33.72,135.99,23.0,7.7
210,Hamilton,75,CA,1570268595,93,43.26,-79.87,10.0,2.6
211,Baracoa,100,CU,1570268597,82,20.35,-74.5,26.1,1.861
212,Tilichiki,0,RU,1570268599,80,60.47,166.1,-2.67,1.16
213,Aripuana,66,BR,1570268601,99,-9.17,-60.63,21.61,0.65
214,Ahuimanu,20,US,1570268527,69,21.44,-157.84,27.0,5.7
215,Roebourne,0,AU,1570268604,15,-20.77,117.15,34.81,9.02
216,Canoinhas,85,BR,1570268606,98,-26.18,-50.4,16.09,0.56
217,Tura,73,RU,1570268608,64,64.27,100.22,1.34,8.1
218,Hengyang,0,CN,1570268610,51,26.89,112.6,28.65,7.66
219,Mahebourg,40,MU,1570268612,69,-20.41,57.7,27.0,5.1
220,Isangel,40,VU,1570268614,78,-19.55,169.27,23.0,7.019
221,Kaitangata,53,NZ,1570268616,67,-46.28,169.85,6.67,1.34
222,Chuy,100,UY,1570268618,97,-33.69,-53.46,14.54,4.85
223,Necochea,11,AR,1570268620,98,-38.55,-58.74,5.56,1.34
224,Shetpe,1,KZ,1570268622,13,44.14,52.16,24.33,7.16
225,Bathsheba,20,BB,1570268347,78,13.22,-59.52,28.0,5.7
226,Mpika,50,ZM,1570268625,33,-11.84,31.4,28.52,5.06
227,Katangi,35,IN,1570268627,67,21.77,79.8,28.18,3.31
228,Chapais,90,CA,1570268629,93,49.78,-74.86,2.0,1.5
229,Pitelino,94,RU,1570268631,79,54.58,41.81,9.65,4.125
230,Betanzos,20,ES,1570268632,77,43.28,-8.21,18.89,1.5
231,Mattru,77,SL,1570268634,87,7.62,-11.83,25.19,1.35
232,Laguna,75,BZ,1570268636,94,16.17,-88.94,24.0,1.44
233,Santa Maria,75,BR,1570268638,73,-16.02,-48.01,22.0,2.6
234,Palampur,88,IN,1570268640,43,32.11,76.54,25.29,3.05
235,Erenhot,27,CN,1570268642,22,43.65,111.97,9.96,2.46
236,Aksu,0,KZ,1570268643,32,52.04,76.93,21.0,2.0
237,Husavik,100,CA,1570268645,86,50.56,-96.99,7.22,2.68
238,Sayanogorsk,95,RU,1570268647,44,53.09,91.41,11.9,7.34
239,Bull Savanna,99,JM,1570268649,79,17.89,-77.59,27.39,3.51
240,Mount Isa,2,AU,1570268651,12,-20.73,139.49,29.0,3.6
241,Normandin,20,CA,1570268653,86,48.84,-72.53,1.0,3.1
242,Shenjiamen,33,CN,1570268655,80,29.96,122.3,23.02,6.91
243,Aswan,0,EG,1570268656,19,24.09,32.9,37.66,1.23
244,Tiznit,100,MA,1570268658,72,29.7,-9.73,20.99,2.73
245,Mpongwe,20,ZM,1570268660,29,-13.51,28.16,31.1,4.71
246,Torbay,75,CA,1570268662,86,47.66,-52.73,5.0,3.6
247,Pilot Butte,90,CA,1570268664,100,50.48,-104.42,5.0,2.6
248,Udachnyy,90,RU,1570268666,92,66.42,112.4,-3.0,5.0
249,Dinard,90,FR,1570268668,93,48.63,-2.06,17.78,3.6
250,Nara,20,JP,1570268670,64,34.68,135.8,24.0,2.1
251,College,90,US,1570268671,93,64.86,-147.8,2.0,5.1
252,Bako,45,BF,1570268673,60,12.29,-0.73,28.59,3.2
253,Surgut,40,RU,1570268675,66,61.25,73.4,9.0,3.0
254,La Ronge,5,CA,1570268677,93,55.1,-105.3,3.0,2.1
255,Kantunilkin,40,MX,1570268679,100,21.1,-87.49,25.0,1.5
256,Barcelona,75,ES,1570268492,77,41.38,2.18,22.78,1.5
257,Puerto Carreno,98,CO,1570268682,90,6.19,-67.49,23.28,0.865
258,Vammala,0,FI,1570268684,64,61.34,22.91,4.0,5.1
259,Vila Velha,40,BR,1570268686,65,-3.71,-38.6,25.56,5.1
260,Milkovo,75,BG,1570268688,64,41.53,24.68,20.0,2.6
261,Ballina,75,IE,1570268690,100,54.11,-9.15,14.44,5.7
262,Leningradskiy,100,RU,1570268692,97,69.38,178.42,2.05,9.25
263,Paracambi,16,BR,1570268693,73,-22.61,-43.71,23.0,5.1
264,Rabaul,33,PG,1570268695,74,-4.2,152.17,29.1,4.84
265,San Rafael,0,AR,1570268518,31,-34.61,-68.33,7.59,3.83
266,Mayo,90,CA,1570268699,98,63.59,-135.9,0.0,1.0
267,Balaipungut,22,ID,1570268701,47,1.11,101.31,32.48,2.534
268,Ostrovnoy,100,RU,1570268703,97,68.05,39.51,0.94,11.39
269,Gulf Gate Estates,1,US,1570268705,94,27.26,-82.51,26.11,2.1
270,Mogzon,0,RU,1570268707,47,51.74,111.97,7.38,3.04
271,Samagaltay,0,RU,1570268709,25,50.6,95.0,8.5,2.7
272,Cockburn Town,100,TC,1570268710,69,21.46,-71.14,28.31,3.45
273,Porosozero,100,RU,1570268712,88,62.72,32.71,1.04,4.613
274,Vao,90,EE,1570268714,74,59.1,26.19,4.08,3.355
275,Fairbanks,90,US,1570268563,93,64.84,-147.72,2.0,5.1
276,Praia da Vitoria,75,PT,1570268717,93,38.73,-27.07,19.0,3.17
277,Soe,0,EE,1570268719,93,57.91,26.05,3.89,3.6
278,Pozo Colorado,100,PY,1570268721,88,-23.49,-58.8,18.71,4.54
279,Lavrentiya,39,RU,1570268723,92,65.58,-170.99,-4.17,2.73
280,Whitehorse,90,CA,1570268665,52,60.72,-135.06,7.0,7.2
281,Jizan,40,SA,1570268727,59,16.89,42.56,35.0,3.6
282,Mirnyy,51,RU,1570268729,78,56.57,36.46,7.03,5.02
283,Ukiah,1,US,1570268706,70,39.15,-123.21,12.22,1.9
284,Hami,100,CN,1570268733,18,42.84,93.51,19.58,3.28
285,Russell,40,US,1570268735,93,38.9,-98.86,19.44,9.3
286,San Patricio,100,PY,1570268736,96,-26.98,-56.83,16.24,3.654
287,Guilin,0,CN,1570268739,34,25.28,110.29,34.0,2.0
288,Banda Aceh,100,ID,1570268741,70,5.56,95.32,26.7,1.94
289,Hay River,90,CA,1570268743,93,60.82,-115.79,6.0,3.1
290,Banjar,0,ID,1570268744,60,-7.37,108.54,27.02,4.03
291,Sorland,75,NO,1570268746,81,67.67,12.69,6.0,4.1
292,Tiksi,100,RU,1570268748,88,71.64,128.87,-6.81,11.27
293,Martos,0,ES,1570268750,52,37.72,-3.97,26.11,1.08
294,Mildura,100,AU,1570268752,16,-34.18,142.16,31.0,1.5
295,Inirida,100,CO,1570268754,99,3.87,-67.92,21.72,0.22
296,Tual,9,ID,1570268756,82,-5.67,132.75,26.46,5.7
297,Saint George,20,GR,1570268757,60,39.45,22.34,23.0,2.6
298,Bosaso,20,SO,1570268760,70,11.28,49.18,32.0,4.6
299,Lar,0,IR,1570268762,45,27.66,54.32,30.0,6.03
300,Lasa,20,CY,1570268764,61,34.92,32.53,28.0,3.6
301,Beba,20,CU,1570268766,94,22.44,-79.73,22.0,0.5
302,Port Elizabeth,1,US,1570268767,65,39.31,-74.98,12.22,3.1
303,Jalingo,70,NG,1570268769,61,10.3,10.93,26.86,3.65
304,Korcula,40,HR,1570268772,58,42.96,17.14,15.0,1.0
305,Sao Filipe,0,CV,1570268774,77,14.9,-24.5,24.85,1.911
306,Lorengau,100,PG,1570268776,79,-2.02,147.27,25.95,1.83
307,Creel,100,MX,1570268778,88,27.75,-107.63,13.21,0.621
308,Pindobacu,60,BR,1570268780,93,-10.74,-40.36,17.95,4.03
309,Jamundi,40,CO,1570268781,94,3.26,-76.53,20.0,1.0
310,Marsa Matruh,0,EG,1570268783,81,31.35,27.25,24.55,5.7
311,Khani,0,GE,1570268785,42,41.96,42.96,29.0,8.7
312,Bilma,0,NE,1570268787,9,18.69,12.92,36.35,6.851
313,Curuguaty,87,PY,1570268789,97,-24.47,-55.69,20.06,1.66
314,Amuntai,49,ID,1570268791,41,-2.42,115.25,33.2,2.04
315,Portachuelo,75,BO,1570268793,68,-17.35,-63.39,22.0,7.7
316,Taltal,17,CL,1570268795,89,-25.41,-70.49,7.58,0.647
317,Coquimbo,0,CL,1570268797,87,-29.95,-71.34,8.0,1.5
318,Kingman,1,US,1570268799,13,35.19,-114.05,20.0,1.236
319,Nampa,1,US,1570268801,93,43.57,-116.56,5.0,2.1
320,Verkhoyansk,14,RU,1570268803,51,67.55,133.39,-7.01,2.15
321,Samarai,100,PG,1570268805,96,-10.62,150.67,23.11,3.42
322,Bonthe,91,SL,1570268806,85,7.53,-12.5,25.74,1.98
323,Alghero,20,IT,1570268808,56,40.56,8.32,23.0,5.1
324,Dali,99,CN,1570268811,61,34.79,109.94,12.39,10.513
325,Aquiraz,40,BR,1570268813,65,-3.9,-38.39,25.56,5.1
326,Aklavik,75,CA,1570268815,69,68.22,-135.01,4.0,1.0
327,Malanville,100,NE,1570268817,65,11.86,3.39,27.99,4.395
328,Horn Lake,1,US,1570268819,67,34.96,-90.03,17.0,3.26
329,Rawson,0,AR,1570268821,49,-43.3,-65.11,7.78,5.49
330,Winnemucca,1,US,1570268823,52,40.97,-117.74,5.0,5.1
331,Kalmunai,99,LK,1570268825,63,7.42,81.82,30.51,3.07
332,Porto Novo,0,BR,1570268827,93,-23.68,-45.44,16.0,0.5
333,Talnakh,75,RU,1570268828,80,69.49,88.39,2.0,4.0
334,Chumikan,100,RU,1570268830,76,54.72,135.31,-0.88,0.83
335,Stromness,75,CA,1570268832,93,42.87,-79.55,7.78,2.6
336,Leiyang,60,CN,1570268834,41,26.42,112.85,31.83,5.25
337,Te Anau,0,NZ,1570268835,73,-45.41,167.72,3.9,1.17
338,Mercedes,78,UY,1570268837,91,-33.25,-58.03,11.83,6.78
339,Patacamaya,93,BO,1570268839,75,-17.23,-67.92,7.05,2.3
340,Walvis Bay,0,NA,1570268841,87,-22.95,14.51,17.22,2.68
341,Tuatapere,45,NZ,1570268843,78,-46.13,167.69,7.22,1.79
342,Richards Bay,100,ZA,1570268845,90,-28.77,32.06,20.34,7.28
343,Qaqortoq,59,GL,1570268846,30,60.72,-46.03,12.0,5.7
344,Boguchany,93,RU,1570268848,70,58.38,97.46,3.63,6.038
345,Upernavik,93,GL,1570268850,70,72.79,-56.15,-0.24,2.314
346,Shenzhen,20,CN,1570268852,52,22.54,114.05,32.78,3.6
347,Beian,20,NO,1570268854,69,63.66,9.57,3.33,3.6
348,Taldan,18,RU,1570268856,65,53.69,124.82,2.68,1.06
349,Buraydah,40,SA,1570268857,25,26.33,43.97,37.0,2.6
350,Carai,100,BR,1570268859,79,-17.19,-41.69,19.98,3.04
351,Norman Wells,40,CA,1570268862,86,65.28,-126.83,2.0,2.6
352,Noyabrsk,63,RU,1570268864,64,63.2,75.45,5.37,3.57
353,Saran,0,KZ,1570268866,15,49.8,72.84,20.0,6.0
354,Ancud,90,CL,1570268868,100,-41.87,-73.83,2.0,1.48
355,Kishtwar,100,IN,1570268870,34,33.31,75.77,14.53,1.87
356,Jalu,0,LY,1570268872,37,29.03,21.55,28.06,5.68
357,Slonim,100,BY,1570268873,78,53.09,25.32,8.22,2.7
358,Klaksvik,75,FO,1570268875,93,62.23,-6.59,9.0,14.4
359,Tazovskiy,100,RU,1570268877,96,67.47,78.7,2.14,8.34
360,Lorut,28,AM,1570268879,62,40.94,44.77,17.1,2.05
361,Yinchuan,100,CN,1570268881,35,38.48,106.21,15.0,1.34
362,Tsabong,0,BW,1570268883,8,-26.02,22.4,34.04,7.38
363,Haapiti,40,PF,1570268885,78,-17.57,-149.87,26.0,2.6
364,Baijiantan,0,CN,1570268887,23,45.63,85.18,17.4,3.85
365,Preeceville,78,CA,1570268889,94,51.95,-102.67,2.9,2.7
366,Voi,93,KE,1570268891,71,-3.4,38.57,23.83,3.65
367,Kurchum,0,KZ,1570268893,35,48.57,83.65,15.79,0.54
368,Juneau,90,US,1570268718,93,58.3,-134.42,9.44,5.1
369,Lakes Entrance,80,AU,1570268897,84,-37.88,147.99,16.67,0.76
370,Ust-Kuyga,100,RU,1570268898,81,70.0,135.55,-6.68,3.39
371,Eskisehir,75,TR,1570268900,87,39.78,30.52,19.0,1.5
372,Hasaki,20,JP,1570268902,77,35.73,140.83,22.22,2.6
373,Gornopravdinsk,93,RU,1570268904,85,60.06,69.92,13.83,3.67
374,Huntsville,1,US,1570268723,63,34.73,-86.59,20.56,3.1
